"commodity_code","obs_date","alert_level","alert_name","crisis_index","triggers","사유"
"CO","2021-11-29","3","경계","79.47440516002683","수입편중極","[CO · 경계(Orange)] 국제 핵심광물 시장의 가격 변동성 급증 및 핵심광물 조달 일부 차질. (산출근거: 수급위기지수 79/100, 수입편중極)"
"CO","2021-12-06","3","경계","90.12722843297132","수입편중極","[CO · 경계(Orange)] 국제 핵심광물 시장의 가격 변동성 급증 및 핵심광물 조달 일부 차질. (산출근거: 수급위기지수 90/100, 수입편중極)"
"CO","2021-12-13","3","경계","90.12722843297132","수입편중極","[CO · 경계(Orange)] 국제 핵심광물 시장의 가격 변동성 급증 및 핵심광물 조달 일부 차질. (산출근거: 수급위기지수 90/100, 수입편중極)"
"CO","2021-12-20","3","경계","90.12722843297132","수입편중極","[CO · 경계(Orange)] 국제 핵심광물 시장의 가격 변동성 급증 및 핵심광물 조달 일부 차질. (산출근거: 수급위기지수 90/100, 수입편중極)"
"CO","2021-12-27","3","경계","90.12722843297132","수입편중極","[CO · 경계(Orange)] 국제 핵심광물 시장의 가격 변동성 급증 및 핵심광물 조달 일부 차질. (산출근거: 수급위기지수 90/100, 수입편중極)"
"CO","2022-01-03","3","경계","90.80896973612396","nan","[CO · 경계(Orange)] 국제 핵심광물 시장의 가격 변동성 급증 및 핵심광물 조달 일부 차질. (산출근거: 수급위기지수 91/100)"
"CO","2022-01-10","3","경계","90.80896973612396","nan","[CO · 경계(Orange)] 국제 핵심광물 시장의 가격 변동성 급증 및 핵심광물 조달 일부 차질. (산출근거: 수급위기지수 91/100)"
"CO","2022-01-17","3","경계","90.80896973612396","nan","[CO · 경계(Orange)] 국제 핵심광물 시장의 가격 변동성 급증 및 핵심광물 조달 일부 차질. (산출근거: 수급위기지수 91/100)"
"CO","2022-01-24","3","경계","90.80896973612396","nan","[CO · 경계(Orange)] 국제 핵심광물 시장의 가격 변동성 급증 및 핵심광물 조달 일부 차질. (산출근거: 수급위기지수 91/100)"
"CO","2022-01-31","3","경계","90.80896973612396","nan","[CO · 경계(Orange)] 국제 핵심광물 시장의 가격 변동성 급증 및 핵심광물 조달 일부 차질. (산출근거: 수급위기지수 91/100)"
